movie_id,domestic_revenue,international_revenue,worldwide_revenue
tt0113409,8000000,8924549,0
tt0113481,26000000,19075720,0
tt0113492,90000000,34693481,78800000
tt0113497,65000000,100499940,162322000
tt0113540,1500000,7412216,0
tt0113987,44000000,13681765,0
tt0114113,11000000,2832826,0
tt0114214,32000000,18636537,0
tt0114272,19000000,4005941,0
tt0114319,58000000,53672080,0
tt0114345,46000000,10382407,0
tt0114369,33000000,100125643,227207916
tt0114371,4000000,389503,0
tt0114436,45000000,20350754,0
tt0114536,35000000,3150170,0
tt0114558,42000000,7959291,0
tt0114614,25000000,4064495,0
tt0114814,6000000,23341568,0
tt0114898,175000000,88246220,175972000
tt0114924,17000000,81057016,101000000
tt0114928,7000000,3734870,0
tt0114938,30000000,2193982,0
tt0115495,6000000,339379,0
tt0115641,12000000,63118386,0
tt0115734,7000000,560069,0
tt0115798,47000000,60240295,42585501
tt0115927,6000000,548561,0
tt0115994,2300000,49620,0
tt0116209,27000000,78676425,153300000
tt0116213,100000000,101295562,141000000
tt0116250,55000000,50047179,91000000
tt0116282,7000000,24611975,36000000
tt0116361,3000000,295493,0
tt0116367,19000000,25836616,0
tt0116477,18000000,4708156,62066
tt0116483,12000000,38824099,2381000
tt0116493,12000000,26570048,0
tt0116583,100000000,100138851,225200000
tt0116629,75000000,306169268,511231623
tt0116654,40000000,27663982,21963797
tt0116669,45000000,58620973,0
tt0116695,50000000,153952592,119600000
tt0116705,60000000,60592389,69240000
tt0116743,3000000,4109095,0
tt0116830,67000000,18115927,29151074
tt0116908,65000000,33447612,56009149
tt0117008,36000000,33459416,0
tt0117039,25000000,11092559,43244
tt0117060,80000000,180981856,276749342
tt0117218,54000000,128814019,145147000
tt0117500,75000000,134069511,200993110
tt0117571,14000000,103046663,70000000
tt0117589,4500000,13417292,0
tt0117603,9000000,36461139,5129747
tt0117666,1000000,24444121,0
tt0117723,18000000,26960191,0
tt0117791,16000000,2021348,0
tt0117802,200000,4555020,0
tt0117998,92000000,241721524,252750000
tt0118073,12000000,21440752,0
tt0118111,4000000,2923982,0
tt0118163,1300000,375757,0
tt0118564,6000000,6330054,0
tt0118571,85000000,172956409,142200000
tt0118583,75000000,47795658,113580411
tt0118589,22000000,4274407,997259
tt0118604,25000000,26570463,0
tt0118607,36000000,44229441,0
tt0118655,16500000,53883989,13800000
tt0118661,60000000,23384939,0
tt0118662,1000000,205246,0
tt0118665,12000000,27250736,9200000
tt0118688,125000000,107353792,130882123
tt0118689,18000000,45319423,205893247
tt0118691,16000000,11486880,0
tt0118749,15000000,26400640,16700954
tt0118771,36000000,50159144,0
tt0118880,75000000,101117573,122894661
tt0118884,90000000,100920329,70200000
tt0118887,15000000,44862187,0
tt0118901,12000000,221193,0
tt0118928,116000000,67127760,111000000
tt0118954,20000000,10686841,0
tt0118972,90000000,42868348,97939199
tt0119019,1000000,543708,0
tt0119062,5000000,386673,0
tt0119079,14000000,206128,0
tt0119094,80000000,112276146,133400000
tt0119142,35000000,31642995,1106000
tt0119164,3500000,45950122,211988527
tt0119190,55000000,105263257,69200000
tt0119219,20000000,1940299,0
tt0119282,85000000,99112101,153600000
tt0119303,32000000,30882515,48200000
tt0119304,35000000,10493366,0
tt0119324,1500000,626057,0
tt0119336,15000000,1798862,9142
tt0119338,500000,375634,0
tt0119346,250000,206272,0
tt0119360,35000000,63856929,0
tt0119395,60000000,54930280,104400000
tt0119396,12000000,39673162,0
tt0119468,27000000,60527873,0
tt0119485,28000000,5684789,0
tt0119502,4000000,46362,0
tt0119506,8000000,106404,0
tt0119509,15000000,10925060,0
tt0119558,62000000,1071255,0
tt0119560,5000000,222099,0
tt0119567,73000000,229086679,389552320
tt0119592,50000000,10541523,0
tt0119594,37000000,15055091,0
tt0119643,90000000,44619100,98321000
tt0119654,90000000,250690539,338700000
tt0119668,35000000,25105255,0
tt0119675,30000000,25480490,0
tt0119715,38000000,61917389,60500000
tt0119718,30000000,21437192,0
tt0119738,38000000,127120029,172168576
tt0119792,9000000,266130,0
tt0119802,11000000,333760,0
tt0119807,25000000,44480039,0
tt0119822,50000000,148478011,165700000
tt0119874,50000000,41263140,69200000
tt0119925,80000000,17626234,0
tt0119934,25000000,777423,0
tt0119937,8000000,589304,0
tt0119942,65000000,39001187,13089000
tt0119951,28000000,41230799,0
tt0120070,10000000,14328,0
tt0120082,24000000,101363301,71000000
tt0120148,6000000,11841544,0
tt0120157,60000000,14594226,0
tt0120169,7500000,43700855,0
tt0120177,40000000,54870175,32969867
tt0120179,160000000,48608066,115900000
tt0120184,80000000,37020277,0
tt0120188,75000000,60652036,47100000
tt0120201,105000000,54814377,66400000
tt0120207,16000000,1710972,0
tt0120241,5000000,1740156,0
tt0120303,4000000,318809,0
tt0120324,30000000,16316273,0
tt0120338,200000000,659363944,1535075598
tt0120363,90000000,245852179,251522597
tt0120390,55000000,11538235,0
tt0120394,3300000,127923,0
tt0120458,75000000,14036005,16621849
