movie_id,movie_revenue,popularity
tt0000001,0,1.273072
tt0000003,0,0.673164
tt0000005,0,1.061591
tt0000008,0,0.312246
tt0000010,0,0.693917
tt0000012,0,5.256608
tt0000014,0,1.963421
tt0000023,0,0.429666
tt0000029,0,1.402404
tt0000070,0,1.187422
tt0000075,0,0.788113
tt0000091,0,1.53747
tt0000131,0,1.017971
tt0000132,0,0.325712
tt0000138,0,0.235313
tt0000192,0,0.055116
tt0000211,0,0.229221
tt0000230,0,1.301063
tt0000242,0,0.55004
tt0000246,0,0.594163
tt0000304,0,0.471404
tt0000313,0,0.462651
tt0000359,0,1.618458
tt0000364,0,0.066255
tt0000399,0,0.205349
tt0000417,0,6.321801
tt0000420,0,0.708323
tt0000437,0,0.118942
tt0000439,0,4.248169
tt0000447,0,0.35504
tt0000455,0,1.046782
tt0000465,0,0.929242
tt0000469,0,0.659695
tt0000488,0,0.173326
tt0000498,0,0.371776
tt0000499,0,1.529176
tt0000516,0,0.560372
tt0000524,0,0.211362
tt0000534,0,0.398256
tt0000546,0,0.510948
tt0000554,0,0.664213
tt0000567,0,0.285283
tt0000574,0,0.290549
tt0000614,0,0.209485
tt0000682,0,1.276073
tt0000832,0,0.61161
tt0000833,0,0.255157
tt0000942,0,0.517049
tt0001032,0,0.22511
tt0001062,0,0.680925
tt0001105,0,0.331569
tt0001223,0,1.659883
tt0001265,0,0.151147
tt0001431,0,0.101471
tt0001463,0,0.759167
tt0001527,0,1.322024
tt0001660,0,0.434534
tt0001737,0,0.426007
tt0001740,0,0.256769
tt0001789,0,0.07602
tt0002054,0,0.162008
tt0002082,0,0.048265
tt0002101,0,0.142542
tt0002113,0,0.462066
tt0002130,0,0.801412
tt0002357,0,0.205335
tt0002381,0,1.356251
tt0002391,0,0.271328
tt0002415,0,0.172089
tt0002461,0,0.05131
tt0002544,0,0.167329
tt0002795,0,0.212974
tt0002844,0,0.791727
tt0002985,0,0.107083
tt0003014,0,0.177574
tt0003016,0,0.003312
tt0003037,0,0.787866
tt0003165,0,0.414734
tt0003419,0,2.581248
tt0003471,0,0.113363
tt0003489,0,0.223436
tt0003643,0,0.449728
tt0003662,0,0.196528
tt0003740,0,0.704028
